concept_id,name,locale,creator,date_created,concept_name_id,voided,voided_by,date_voided,void_reason,uuid,concept_name_type,locale_preferred
5089,Weight (kg),en,,,1,0,,,,,FULLY_SPECIFIED,1
163529,Health facility where mother received prenatal care,en,,,2,0,,,,,FULLY_SPECIFIED,1
