identifier_type,system,label
3,http://isanteplus.org/openmrs/fhir2/3-isanteplus-id,iSantePlus ID
5,http://isanteplus.org/openmrs/fhir2/5-code-national,Code National
6,http://isanteplus.org/openmrs/fhir2/6-code-st,Code ST
